Date : 2020-06-25 10:41:05
Directory : /home/nexware/NexOS
Total : 60 files,  2471 codes, 224 comments, 496 blanks, all 3191 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/nexware/NexOS/NexBoot/Runtime.c                  | C                       |        103 |          6 |         15 |        124 |
| /home/nexware/NexOS/NexKe/BootDrivers/Makefile         | Makefile                |         23 |          0 |         12 |         35 |
| /home/nexware/NexOS/NexKe/BootDrivers/Serial/Serial.c  | C                       |         18 |          5 |          6 |         29 |
| /home/nexware/NexOS/NexKe/Hal/Makefile                 | Makefile                |         29 |          0 |         15 |         44 |
| /home/nexware/NexOS/NexKe/Hal/x64/Cpu.c                | C                       |         60 |          5 |         10 |         75 |
| /home/nexware/NexOS/NexKe/Hal/x64/Gdt.c                | C                       |         27 |          5 |          7 |         39 |
| /home/nexware/NexOS/NexKe/Hal/x64/GdtInt.asm           | x86 and x86_64 Assembly |         16 |          3 |          4 |         23 |
| /home/nexware/NexOS/NexKe/Hal/x64/Idt.c                | C                       |         35 |          5 |          7 |         47 |
| /home/nexware/NexOS/NexKe/Hal/x64/IdtInt.asm           | x86 and x86_64 Assembly |          6 |          3 |          4 |         13 |
| /home/nexware/NexOS/NexKe/Hal/x64/Include/Gdt.h        | C++                     |         20 |          5 |          8 |         33 |
| /home/nexware/NexOS/NexKe/Hal/x64/Include/Idt.h        | C++                     |         20 |          5 |          7 |         32 |
| /home/nexware/NexOS/NexKe/Hal/x64/Isr.c                | C                       |        116 |          5 |          6 |        127 |
| /home/nexware/NexOS/NexKe/Hal/x64/IsrStub.asm          | x86 and x86_64 Assembly |         82 |          3 |          9 |         94 |
| /home/nexware/NexOS/NexKe/Hal/x86-common/Hal.c         | C                       |         10 |          5 |          3 |         18 |
| /home/nexware/NexOS/NexKe/Hal/x86-common/Include/Hal.h | C++                     |          8 |          5 |          5 |         18 |
| /home/nexware/NexOS/NexKe/Hal/x86/Cpu.c                | C                       |         50 |          5 |         10 |         65 |
| /home/nexware/NexOS/NexKe/Hal/x86/Gdt.c                | C                       |         27 |          5 |          7 |         39 |
