"filename", "language", "JSON with Comments", "Makefile", "EditorConfig", "Properties", "C", "C++", "x86 and x86_64 Assembly", "LinkerScript", "Markdown", "comment", "blank", "total"
"/home/nexware/NexOS/NexKe/Hal/x86/Idt.c", "C", 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 7, 45
"/home/nexware/NexOS/NexKe/Hal/x86/IdtInt.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 4, 13
"/home/nexware/NexOS/NexKe/Hal/x86/Include/Gdt.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 8, 33
"/home/nexware/NexOS/NexKe/Hal/x86/Include/Idt.h", "C++", 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 7, 30
"/home/nexware/NexOS/NexKe/Hal/x86/Isr.c", "C", 0, 0, 0, 0, 116, 0, 0, 0, 0, 5, 6, 127
"/home/nexware/NexOS/NexKe/Hal/x86/IsrStub.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 73, 0, 0, 3, 7, 83
"/home/nexware/NexOS/NexKe/Kernel/Makefile", "Makefile", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 14, 51
"/home/nexware/NexOS/NexKe/Kernel/Start/Entry.c", "C", 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 4, 23
"/home/nexware/NexOS/NexKe/Kernel/Start/Init.c", "C", 0, 0, 0, 0, 10, 0, 0, 0, 0, 5, 3, 18
"/home/nexware/NexOS/NexKe/Kernel/Start/Panic.c", "C", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 3, 17
"/home/nexware/NexOS/NexKe/Makefile", "Makefile", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/nexware/NexOS/NexKe/Runtime/Makefile", "Makefile", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36
"/home/nexware/NexOS/NexKe/Runtime/Memory/Memory.c", "C", 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 4, 22
"/home/nexware/NexOS/NexKe/Runtime/String/String.c", "C", 0, 0, 0, 0, 104, 0, 0, 0, 0, 6, 14, 124
"/home/nexware/NexOS/NexOS.code-workspace", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/nexware/NexOS/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/nexware/NexOS/grub/grub.cfg", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 8, 211, 10, 5, 1362, 453, 377, 43, 2, 224, 496, 3191
